ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
15522807,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,14,0.0,15,339310368844234,6,43.5,333.5832824707031,0.032099999487400055,0,0.0,0.0,,,,,0,,1,,
15522807,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,15,0.0,15,339310364381167,6,43.7,310.2364501953125,0.026100000366568565,0,0.0,0.0,,,,,0,,1,,
15522808,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,17,0.0,15,339310372739083,12,37.1,245.8391876220703,0.04190000146627426,0,0.0,0.0,,,,,0,,1,,
15522808,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,19,0.0,15,339310374358431,12,37.0,-138.988037109375,0.04490000009536743,0,0.0,0.0,,,,,0,,1,,
15522808,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,24,0.0,15,339310365493104,12,37.0,-573.3392333984375,0.03140000253915787,0,0.0,0.0,,,,,0,,1,,
15522808,2032200000000,,,-1329687678241534687,0.7922286987304688,35.94684676500037,-13.151343797870007,12.408706114457464,5,30,0.0,15,339310363248527,1795,25.1,625.7141723632812,28.43600082397461,0,0.0,0.0,,,,,0,,1,,
15523807,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,14,0.0,207,4493375182377,6,43.0,96.21611785888672,0.24260000884532928,0,0.0,0.0,,,,,0,,3,,
15523807,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,6,0.0,207,4493361659184,35,27.0,-113.3861083984375,0.9879999756813049,0,0.0,0.0,,,,,0,,3,,
15523807,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,13,0.0,207,4493363683451,1057,15.2,534.453125,20.981000900268555,0,0.0,0.0,,,,,0,,3,,
15523807,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,15,0.0,207,4493372364660,7,42.5,-442.3484802246094,0.2386000007390976,0,0.0,0.0,,,,,0,,3,,
15523807,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,5,0.0,207,4493364397766,12,37.8,468.9937438964844,0.22990001738071442,0,0.0,0.0,,,,,0,,3,,
15523807,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,24,0.0,207,4493375014832,7,42.3,238.0078887939453,0.24310000240802765,0,0.0,0.0,,,,,0,,3,,
15523807,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,23,0.0,207,4493365151309,8,41.6,724.4996337890625,0.22870001196861267,0,0.0,0.0,,,,,0,,3,,
15523807,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,17,0.0,207,4493374685227,61,23.6,-550.1007080078125,1.2975000143051147,0,0.0,0.0,,,,,0,,3,,
15523808,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,1,0.0,15,339311362471366,10,39.1,385.4010925292969,0.025100000202655792,0,0.0,0.0,,,,,0,,1,,
15523808,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,6,0.0,15,339311364625116,53,24.2,-630.4429321289062,0.8524999618530273,0,0.0,0.0,,,,,0,,1,,
15523808,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,12,0.0,15,339311357207397,31,28.9,-548.0076904296875,0.6420000195503235,0,0.0,0.0,,,,,0,,1,,
15523808,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,13,0.0,15,339311367383164,21,31.9,490.4354248046875,0.12170000374317169,0,0.0,0.0,,,,,0,,1,,
15523808,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,14,0.0,15,339311368843125,6,43.7,333.6526794433594,0.032099999487400055,0,0.0,0.0,,,,,0,,1,,
15523808,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,15,0.0,15,339311364380139,6,44.3,310.3712158203125,0.025600001215934753,0,0.0,0.0,,,,,0,,1,,
15523808,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,17,0.0,15,339311372738311,12,37.4,245.97572326660156,0.04190000146627426,0,0.0,0.0,,,,,0,,1,,
15523808,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,19,0.0,15,339311374358869,12,37.3,-138.80780029296875,0.04490000009536743,0,0.0,0.0,,,,,0,,1,,
15523808,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,24,0.0,15,339311365495042,12,37.0,-573.2368774414062,0.03140000253915787,0,0.0,0.0,,,,,0,,1,,
15523808,2033200000000,,,-1329687678241534704,0.8645095825195312,40.5489481636323,-13.797784560517702,15.432263769096544,5,30,0.0,15,339311363246440,1987,25.1,625.7141723632812,29.93600082397461,0,0.0,0.0,,,,,0,,1,,
15524805,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,14,0.0,207,4494375182104,7,42.1,96.6506576538086,0.24310000240802765,0,0.0,0.0,,,,,0,,3,,
15524805,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,6,0.0,207,4494361659652,46,25.6,-112.41163635253906,1.1180000305175781,0,0.0,0.0,,,,,0,,3,,
15524805,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,13,0.0,207,4494363681668,1194,15.2,534.453125,22.481000900268555,0,0.0,0.0,,,,,0,,3,,
15524805,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,15,0.0,207,4494372366112,7,42.1,-441.9659729003906,0.2386000007390976,0,0.0,0.0,,,,,0,,3,,
15524805,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,5,0.0,207,4494364396124,11,38.2,469.447998046875,0.2289000153541565,0,0.0,0.0,,,,,0,,3,,
15524805,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,24,0.0,207,4494375014016,8,41.8,238.5193328857422,0.24370001256465912,0,0.0,0.0,,,,,0,,3,,
15524805,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,23,0.0,207,4494365148886,8,41.0,724.9384765625,0.22870001196861267,0,0.0,0.0,,,,,0,,3,,
15524806,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,17,0.0,207,4494374686928,46,25.1,-549.6895751953125,1.1375000476837158,0,0.0,0.0,,,,,0,,3,,
15524806,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,1,0.0,15,339312362470094,10,39.0,385.8895568847656,0.025100000202655792,0,0.0,0.0,,,,,0,,1,,
15524806,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,6,0.0,15,339312364627276,70,22.9,-629.2631225585938,1.002500057220459,0,0.0,0.0,,,,,0,,1,,
