UNIX Epoch timestamp-utc,lat,lon
1645656034433.0,37.43086551,-122.1645614
1645656035432.0,37.43086088992612,-122.16455588013416
1645656036433.0,37.43084124086127,-122.1645115302596
1645656037432.0,37.43083121578013,-122.16453752441285
1645656038433.0,37.43082817497632,-122.164556053703
1645656039432.0,37.43083529642013,-122.16450696967478
1645656040432.0,37.43082494173228,-122.16442223546387
1645656041433.0,37.43083522041638,-122.16442321084722
1645656042432.0,37.43083342176076,-122.16440133097827
1645656043433.0,37.43084542716883,-122.16442526568297
1645656044432.0,37.43084360848811,-122.1644023305918
1645656045433.0,37.4308077766964,-122.16440122690342
1645656046432.0,37.43077561844164,-122.16438838232699
1645656047432.0,37.4307599607748,-122.16439507256003
1645656048432.0,37.43075807308638,-122.16439014793733
1645656049432.0,37.43074514249381,-122.16437931236771
1645656050433.0,37.43074319552081,-122.16439863183734
1645656051432.0,37.43078193295408,-122.16445587198676
1645656052434.0,37.43078191156462,-122.16449537095575
1645656053433.0,37.43077263868694,-122.16451342377444
1645656054434.0,37.43079925380756,-122.16454655324046
1645656055433.0,37.43078852950705,-122.16452798998479
1645656056432.0,37.43076452171216,-122.16451121483193
1645656057433.0,37.43076288726338,-122.16451066292313
1645656058432.0,37.43073732809473,-122.16449896181116
1645656059434.0,37.430744945653956,-122.16448461408471
1645656060433.0,37.430745832867146,-122.16448346449594
1645656061432.0,37.430768935533514,-122.16447320669523
1645656062433.0,37.43080136549171,-122.16449470506204
1645656063432.0,37.43085238790308,-122.16450147694565
1645656064433.0,37.430883653704115,-122.16451936283114
1645656065433.0,37.430922098208654,-122.16451540440157
1645656066434.0,37.430956797029026,-122.16450543454593
1645656067433.0,37.430987866517306,-122.16449987279692
1645656068432.0,37.43105786889697,-122.16447116255848
1645656069433.0,37.43108759001572,-122.1644579715101
1645656070433.0,37.43113736712412,-122.16446473031183
1645656071432.0,37.431132078454475,-122.16447887396907
1645656072432.0,37.43116076612286,-122.16447718713816
1645656073432.0,37.43117217421891,-122.16443866260266
1645656074433.0,37.4312229792987,-122.16446006201264
1645656075432.0,37.43123967916367,-122.16445894379808
1645656076433.0,37.43126845647641,-122.1644332629945
1645656077432.0,37.43127752252157,-122.16443821881872
1645656078434.0,37.431319167472154,-122.16443940269326
1645656079433.0,37.431341435149676,-122.1644512731723
1645656080432.0,37.43137582203407,-122.16445601993142
1645656081433.0,37.431392273064155,-122.16447542293788
1645656082432.0,37.43142771648083,-122.16448970545638
1645656083433.0,37.431463137657204,-122.16450269921101
