UNIX Epoch timestamp-utc,lat,lon
1645747244436.0,37.42042048,-122.1756434
1645747245435.0,37.420358034929805,-122.17566809653634
1645747246437.0,37.42030426810829,-122.17571911650955
1645747247435.0,37.42026053567131,-122.17573524510867
1645747248436.0,37.420252758162825,-122.17570886795843
1645747249435.0,37.4202866990975,-122.17571171754885
1645747250435.0,37.42030701885142,-122.17572632936336
1645747251436.0,37.42027437064362,-122.17574565737449
1645747252435.0,37.42029006783144,-122.17575977492035
1645747253436.0,37.42025683295485,-122.17578873787312
1645747254435.0,37.420255881707675,-122.17577044657762
1645747255436.0,37.42027867208916,-122.17575647795269
1645747256435.0,37.42029757899027,-122.17575910724666
1645747257436.0,37.42030036717319,-122.17576854815076
1645747258435.0,37.42029371024501,-122.1757804852544
1645747259437.0,37.42028956772691,-122.17578648630125
1645747260436.0,37.42030082131134,-122.17578290650138
1645747261436.0,37.42030280726153,-122.17576537594026
1645747262436.0,37.42030529963834,-122.17575199674606
1645747263437.0,37.42035435515493,-122.17574284513879
1645747264435.0,37.42037243712315,-122.17573559751735
1645747265435.0,37.420370641875195,-122.17574043127402
1645747266436.0,37.42038120900458,-122.17574348889684
1645747267438.0,37.42037432360221,-122.17574886396108
1645747268436.0,37.42037738676958,-122.17575997742006
1645747269435.0,37.42037323258537,-122.17578045202747
1645747270437.0,37.42037865944628,-122.1758072582372
1645747271435.0,37.42037440579428,-122.17583239779924
1645747272435.0,37.42038193999813,-122.17587045260198
1645747273435.0,37.4203762137805,-122.17590006592178
1645747274437.0,37.42037095184737,-122.17592281974457
1645747275436.0,37.420363115201006,-122.17595432309943
1645747276435.0,37.42033314090544,-122.17599305574632
1645747277436.0,37.420348062086404,-122.17603268917289
1645747278437.0,37.42036952330777,-122.17605785893247
1645747279436.0,37.4203641522518,-122.17610636073242
1645747280435.0,37.42034929993833,-122.17613940837789
1645747281436.0,37.42034273014362,-122.17617570943642
1645747282436.0,37.42034311133328,-122.1762072403564
1645747283436.0,37.420344956461975,-122.17625433492307
1645747284435.0,37.420372486314434,-122.17627595767368
1645747285437.0,37.42038552724621,-122.17630493183529
1645747286435.0,37.42040943481977,-122.17632665968586
1645747287437.0,37.42043167309046,-122.17634664694711
1645747288436.0,37.42044286125745,-122.17637612550031
1645747289438.0,37.42045744784897,-122.17639584630629
1645747290436.0,37.42047992940357,-122.17642537781474
1645747291435.0,37.42050770329146,-122.17644332100814
1645747292436.0,37.420533364901,-122.17647050556018
1645747293435.0,37.42055191427021,-122.17648975223108
1645747294436.0,37.42054571102887,-122.1765080163497
1645747295436.0,37.42057405602219,-122.17653015359708
1645747296436.0,37.42057912804426,-122.17656026832066
1645747297436.0,37.4205912931098,-122.17657739662879
1645747298437.0,37.42063078356853,-122.17658649920155
1645747299436.0,37.42065976659766,-122.17660661930941
1645747300435.0,37.420689954011166,-122.17662167398433
1645747301436.0,37.42072428363313,-122.17663789747354
1645747302435.0,37.42073764545113,-122.17665539887393
1645747303436.0,37.42075735547911,-122.1766816493482
1645747304435.0,37.420776636570636,-122.1767034400283
1645747305436.0,37.420788677106124,-122.17672396291687
1645747306435.0,37.42082785293139,-122.17674023709418
1645747307437.0,37.420860980838505,-122.17675047564768
1645747308435.0,37.420899317321364,-122.17675830111132
1645747309437.0,37.42092993926849,-122.17676646880429
1645747310436.0,37.42095666385383,-122.1767696532865
1645747311436.0,37.420992873275324,-122.17678518560726
1645747312436.0,37.421026079659924,-122.1767947743234
1645747313437.0,37.42102850393627,-122.17681140084936
1645747314436.0,37.421019739536604,-122.17683913290483
1645747315435.0,37.42101181037095,-122.17687913685374
1645747316436.0,37.421012701568586,-122.17690440921058
1645747317435.0,37.42103120739572,-122.17692579538725
1645747318436.0,37.42104125753966,-122.17695940013873
1645747319435.0,37.421030257446134,-122.17699811571478
1645747320437.0,37.421032016549226,-122.1770211809768
1645747321435.0,37.42104569778939,-122.17704098257464
1645747322435.0,37.421040931926,-122.17706525522364
1645747323436.0,37.42105263683383,-122.17708523691294
1645747324435.0,37.42106846966357,-122.17711958488566
1645747325436.0,37.421097825057586,-122.17712849499081
1645747326435.0,37.421128393228116,-122.17713130338566
1645747327436.0,37.42113502231646,-122.1771470449052
1645747328435.0,37.421151673603255,-122.17717048806743
1645747329437.0,37.4211543055445,-122.17720150288986
1645747330435.0,37.42117527439068,-122.1772244257927
1645747331436.0,37.42119106582461,-122.17724420438253
1645747332435.0,37.42121179927526,-122.17725730865196
1645747333437.0,37.42121428116894,-122.17727607512165
1645747334436.0,37.4212317545062,-122.17729021416757
1645747335435.0,37.42124552595183,-122.17729477693554
1645747336436.0,37.42125538669509,-122.17730566383806
1645747337435.0,37.4212861352372,-122.1773176599632
1645747338436.0,37.42133358949595,-122.17732129926755
1645747339436.0,37.42138179899826,-122.17733020295157
1645747340437.0,37.42142184956053,-122.17732821242343
1645747341435.0,37.42145955761675,-122.17733079721567
1645747342436.0,37.42150234925485,-122.17732870833072
1645747343436.0,37.4215435656249,-122.1773333384782
1645747344437.0,37.421589328358536,-122.17733408216593
1645747345436.0,37.42163326320918,-122.17732807134414
1645747346435.0,37.421676333388476,-122.17733043110519
1645747347436.0,37.42172363875022,-122.17732778247789
1645747348435.0,37.421765655672516,-122.17732608399008
1645747349436.0,37.421818915150105,-122.17732254797569
1645747350435.0,37.42186493073315,-122.17731064743376
1645747351437.0,37.42191055257031,-122.17730406047257
1645747352435.0,37.42195156590468,-122.17729405593514
1645747353437.0,37.42200406404612,-122.17728448183833
1645747354436.0,37.42205641053935,-122.17727497981159
