UNIX Epoch timestamp-utc,lat,lon,alt
1645747352435,37.42188819,-122.1781029,44.58554383
1645747353435,37.42198962,-122.1781353,32.72553923
1645747354435,37.42203085,-122.178154,40.16309724
1645747355435,37.42198935,-122.1780864,37.06660959
1645747356435,37.42201168,-122.1780781,43.86447556
1645747357435,37.42203229,-122.1781076,48.85781824
1645747358435,37.42201243,-122.1779869,52.17461286
1645747359435,37.42213635,-122.1779676,60.04383142
1645747360435,37.42210425,-122.1779587,52.53330162
1645747361435,37.42212237,-122.1779619,57.11847054
1645747362435,37.4221473,-122.1780293,58.82164042
1645747363435,37.42229262,-122.1779168,68.47196893
1645747364435,37.42221392,-122.1779265,56.48919776
1645747365435,37.42223957,-122.1781077,55.94138814
1645747366435,37.42227899,-122.1780015,61.5489509
1645747367435,37.42232396,-122.1780346,59.78594698
1645747368435,37.42230711,-122.1781018,52.66398483
1645747369435,37.42229501,-122.1778771,65.46969308
1645747370435,37.42240175,-122.1778583,73.75233842
1645747371435,37.4224005,-122.1780011,54.2650865
1645747372435,37.42247672,-122.1779214,64.75751189
1645747373435,37.42253541,-122.1780156,42.35932462
1645747374435,37.42258859,-122.1782258,40.82872037
1645747375435,37.42261832,-122.1778812,42.46054996
1645747376435,37.42262045,-122.1779742,49.80043142
1645747377435,37.42263287,-122.1781136,46.49452417
1645747378435,37.42261241,-122.1779841,60.50900022
1645747379435,37.42276244,-122.1780789,42.97808761
1645747380435,37.42282977,-122.1780762,38.94748233
1645747381435,37.42275963,-122.1780085,41.7676096
1645747382435,37.42274029,-122.1781484,36.07026997
1645747383435,37.422867,-122.1780466,50.64004045
1645747384435,37.42283843,-122.178082,37.1829656
1645747385435,37.42292258,-122.1781671,27.5958514
1645747386435,37.42292127,-122.1780208,41.66421231
1645747387435,37.42298538,-122.1780859,53.07856999
1645747388435,37.42290742,-122.1780997,32.19487937
1645747389435,37.42300758,-122.178021,33.62457795
1645747390435,37.4230262,-122.1780208,42.779386
