UNIX Epoch timestamp-utc,x,y,z
1645747241435,0,-0,-66.53648614
1645747242435,1.69956676973781,-3.21303138266709,-56.80613369
1645747243435,2.98309375929194,2.28297255713007,-63.22620726
1645747244435,-2.12445846217226,-9.25175461373615,-60.45678247
1645747245435,-9.93184331254221,-24.8252455844742,-52.5111178
1645747246435,-17.2700769192873,-24.2070561260766,-53.83292501
1645747247435,-13.4726074178399,-27.2147642601313,-55.82175985
1645747248435,-4.35513984745313,-24.1537830672073,-47.95706291
1645747249435,-10.4895136585479,-15.5091193577406,-61.51951504
1645747250435,-14.9331726108978,-16.1428467914446,-60.64194709
1645747251435,-18.6598268294342,-29.7063896323488,-47.25046736
1645747252435,-19.1820895339844,-17.7354892895263,-53.0519954
1645747253435,-27.5559966413529,-33.1314033965783,-46.06265508
1645747254435,-9.22369049097951,-24.5189254940046,-53.39475701
1645747255435,-9.37417296527855,-15.4170013598168,-63.97124647
1645747256435,-16.6769989305681,-15.0274421145683,-64.4444231
1645747257435,-20.9524715866332,-20.4735025611827,-65.03666469
1645747258435,-23.6965637667294,-24.6809643823843,-67.39637386
1645747259435,-21.58095721555,-24.1393549473927,-63.52024485
1645747260435,-16.4025897111748,-16.8209684400843,-67.30540895
1645747261435,-6.93989764351536,-20.604465498161,-41.69143521
1645747262435,-7.74542147845177,-20.0717349063143,-48.9691059
1645747263435,-8.99354082529245,6.33394476662181,-58.70219505
1645747264435,-9.31220959461829,-6.71462516951404,-54.44902028
1645747265435,-15.9776980187403,-15.3115650967814,-45.00099084
1645747266435,-14.4109099025738,-6.75014054209353,-50.55246097
1645747267435,-16.3406263417724,-15.3370917707243,-40.87781969
1645747268435,-20.8816563037222,-8.94321481228319,-45.28053749
1645747269435,-27.9454806935898,-12.1917615675298,-47.69817583
1645747270435,-35.1863432831874,-5.03874351586474,-53.72496665
1645747271435,-37.3108017478755,-10.1474079213968,-36.20173883
1645747272435,-49.057286662999,-3.2052623950139,-48.42272299
1645747273435,-45.2421133420818,-10.1229911021569,-46.0233052
1645747274435,-43.4451755577124,-10.1662754631782,-27.8704289
1645747275435,-52.0846399722235,-12.7988524710105,-26.4283341
1645747276435,-59.6618751543905,-26.6365295970685,12.44810777
1645747277435,-63.4859003888164,-1.09320756940837,-21.31674605
1645747278435,-56.1211110503508,4.08315801559618,-62.79308133
1645747279435,-76.6221352140869,-11.5169694845765,-32.90931732
1645747280435,-69.3812726219734,-17.9030774553644,-12.50936347
1645747281435,-75.993649586428,-13.4447883143344,-9.444101381
1645747282435,-75.9670938559654,-10.1418586439383,-26.58411478
1645747283435,-92.1572377209229,-9.02423425607872,-38.19869864
1645747284435,-77.8791064719204,6.85557680434032,-54.50738247
1645747285435,-86.5451266143783,0.285232837704803,-51.16336353
1645747286435,-84.3410009595601,7.47931553940775,-62.36885496
1645747287435,-86.6956090899353,9.50147207807287,-65.00874935
1645747288435,-98.0172023138823,4.18970413412325,-23.68401705
1645747289435,-93.2902822349201,6.59698049685873,-21.63713545
1645747290435,-103.080494984156,12.2006404106747,-23.12996536
1645747291435,-99.0086162633153,17.7410385661962,-34.47994886
1645747292435,-108.595235074811,18.173882172466,-18.6895105
1645747293435,-105.762623791076,15.4047929494083,-45.15133811
1645747294435,-107.833970793581,1.45169086246693,-62.96943156
1645747295435,-112.950374923522,21.4879103962017,-58.70555034
1645747296435,-122.75829149097,10.3216552186078,-13.50805657
1645747297435,-118.509374567883,16.4436176036671,-35.30245887
1645747298435,-115.411205975748,34.4310440693022,-52.06533227
1645747299435,-126.653132005791,31.3800515750147,-28.77979648
1645747300435,-125.334197378555,34.8894143495149,-49.54653828
1645747301435,-128.759886649752,40.0491321037214,-41.18364954
1645747302435,-130.972864214305,29.6642151268192,-34.5293042
1645747303435,-140.01066458953,34.411066672029,-19.40555787
1645747304435,-141.49778551305,36.5830536894539,-16.99476342
1645747305435,-143.613392065488,34.999290034517,-17.16892474
1645747306435,-143.365538577815,52.9445419946224,-26.5324139
1645747307435,-142.090863501769,52.6337824821861,-59.21430526
1645747308435,-141.683675628805,58.784601108452,-79.58546094
1645747309435,-143.17964846206,56.7624445697869,-71.84621434
1645747310435,-142.427236090565,58.0698542309525,-88.44990666
1645747311435,-153.261974248902,66.8920948041053,-74.46702902
1645747312435,-150.694920273567,67.6401373439896,-84.69779674
1645747313435,-158.263303545999,52.3452200787948,-69.27314897
1645747314435,-169.788490705171,47.1610855061371,-36.0427455
1645747315435,-181.959867312729,47.6194557855612,-11.52572217
1645747316435,-175.577640015219,54.013332744791,-55.30739815
1645747317435,-176.259237103803,65.9198614738273,-28.17587797
1645747318435,-187.288717290145,63.3993798611919,-23.39004845
1645747319435,-195.228880794086,52.5327856411174,-19.78935951
1645747320435,-188.306686971299,59.9277521702546,-20.62272326
1645747321435,-188.837801586842,67.7233764987685,-36.41929206
1645747322435,-194.352541677497,57.2219247054913,-50.57800796
1645747323435,-194.308282127564,67.0641223911216,-39.78541428
1645747324435,-209.11752799211,70.8931235212029,-55.60865708
1645747325435,-193.963057627776,80.6731693040305,-93.25218103
1645747326435,-191.351744099993,83.9583412881368,-107.0179375
1645747327435,-203.567380258741,72.0773392322548,-68.63451616
1645747328435,-212.065214108688,79.3746384867983,-27.27062
1645747329435,-220.235527279574,72.3137384330571,-26.95973752
1645747330435,-218.403181856265,84.3545596655468,-48.41823618
1645747331435,-219.261817150869,83.4877625983042,-68.82858996
1645747332435,-215.446643829952,88.3333912743879,-57.45241486
1645747333435,-222.35113383327,78.8940710983291,-45.56729922
