X,Y,Name,description
-122.1702819,37.4367179,Point 177,
-122.1702484,37.4367626,Point 178,
-122.1702229,37.4368041,Point 179,
-122.1701947,37.4368515,Point 180,
-122.1701712,37.4368899,Point 181,
-122.170143,37.4369271,Point 182,
-122.1701176,37.4369655,Point 183,
-122.1700988,37.4369942,Point 184,
-122.17008,37.4370283,Point 185,
-122.1700559,37.4370608,Point 186,
-122.1700291,37.4370815,Point 187,
-122.1699861,37.4371034,Point 188,
-122.1699499,37.4371114,Point 189,
-122.1698963,37.437114,Point 190,
-122.1698413,37.437122,Point 191,
-122.1697809,37.4371268,Point 192,
-122.16973,37.4371252,Point 193,
-122.169671,37.4371231,Point 194,
-122.1696214,37.4371241,Point 195,
-122.1695637,37.4371263,Point 196,
-122.1695141,37.4371305,Point 197,
-122.1694698,37.4371417,Point 198,
-122.1694256,37.4371647,Point 199,
-122.1693853,37.4371892,Point 200,
-122.1693424,37.4372276,Point 201,
-122.1693016,37.4372624,Point 202,
-122.1692707,37.4372933,Point 203,
-122.1692439,37.4373242,Point 204,
-122.1692211,37.4373711,Point 205,
-122.169193,37.4374105,Point 206,
-122.1691514,37.4373951,Point 207,
-122.1691152,37.4373696,Point 208,
-122.1690749,37.4373419,Point 209,
-122.1690307,37.4373557,Point 210,
-122.1689905,37.4373575,Point 211,
-122.1689757,37.43736,Point 212,
-122.1689328,37.4373472,Point 213,
-122.1689046,37.4373344,Point 214,
-122.1688832,37.4373142,Point 215,
-122.1688671,37.437294,Point 216,
-122.168855,37.4372727,Point 217,
-122.1688537,37.437246,Point 218,
-122.1688094,37.4372173,Point 219,
-122.1687571,37.4371853,Point 220,
-122.1687222,37.4371598,Point 221,
-122.1686981,37.4371183,Point 222,
-122.1686149,37.4371364,Point 223,
-122.1685425,37.4371534,Point 224,
-122.1681657,37.4372311,Point 225,
-122.1675663,37.4373571,Point 226,
-122.1675154,37.4374306,Point 228,
-122.1674738,37.4374742,Point 229,
-122.1674403,37.4375083,Point 230,
-122.1674067,37.4375381,Point 231,
-122.1673584,37.437569,Point 232,
-122.1673196,37.437601,Point 233,
-122.1672807,37.4376308,Point 234,
-122.1672391,37.4376585,Point 235,
-122.1671921,37.4376915,Point 236,
-122.1671653,37.4377266,Point 237,
-122.1671358,37.4377586,Point 238,
-122.1670969,37.4377863,Point 239,
-122.167046,37.4377969,Point 240,
-122.1670084,37.4377841,Point 241,
-122.1669709,37.4377681,Point 242,
-122.1669896,37.4377319,Point 243,
-122.1670151,37.4376595,Point 244,
-122.1670419,37.4375743,Point 245,
-122.1670795,37.4374689,Point 246,
-122.1670889,37.4374324,Point 247,
-122.167101,37.437393,Point 248,
-122.1671144,37.4373525,Point 249,
-122.167134,37.4372935,Point 250,
-122.1671568,37.4372184,Point 251,
-122.1671796,37.4371471,Point 252,
-122.1671971,37.4370907,Point 253,
-122.1672195,37.437025,Point 254,
-122.1672571,37.4369164,Point 255,
-122.1672812,37.4368493,Point 256,
-122.1673013,37.4367971,Point 257,
-122.1673188,37.4367417,Point 258,
-122.167337,37.4366693,Point 259,
-122.1673557,37.4366171,Point 260,
-122.1673759,37.4365574,Point 261,
-122.1673948,37.436495,Point 262,
-122.1674149,37.436429,Point 263,
-122.167443,37.4363534,Point 264,
-122.1674672,37.436282,Point 265,
-122.1675111,37.436164,Point 266,
-122.1675379,37.436082,Point 267,
-122.1676331,37.4358219,Point 268,
-122.1676921,37.435617,Point 269,
-122.1678115,37.4352627,Point 270,
-122.1678866,37.4350455,Point 271,
-122.1679188,37.4349528,Point 272,
-122.167959,37.4348549,Point 273,
-122.1679831,37.4347846,Point 274,
-122.1680247,37.4346877,Point 275,
-122.1680301,37.4346365,Point 276,
-122.1680824,37.4344832,Point 277,
-122.168101,37.4344291,Point 278,
-122.1681211,37.4344014,Point 279,
-122.1682371,37.4344,Point 280,
-122.1683484,37.434384,Point 281,
-122.1684423,37.4343702,Point 282,
-122.1685428,37.4343552,Point 283,
-122.1686233,37.4343414,Point 284,
-122.1687078,37.4343212,Point 285,
-122.1688133,37.4342853,Point 286,
-122.1688965,37.4342587,Point 287,
-122.168977,37.4342193,Point 288,
-122.1690386,37.4341916,Point 289,
-122.1691272,37.4341735,Point 290,
-122.169272,37.4341607,Point 291,
-122.1694075,37.4341564,Point 292,
-122.1694812,37.4341522,Point 293,
-122.169567,37.4341383,Point 294,
-122.1696515,37.4341224,Point 295,
-122.1697266,37.4341085,Point 296,
-122.1697856,37.4341011,Point 297,
-122.169854,37.4340893,Point 298,
-122.1699037,37.4340776,Point 299,
-122.169968,37.434067,Point 300,
-122.1700136,37.4340606,Point 301,
-122.1701048,37.4340542,Point 302,
-122.1701725,37.4340416,Point 303,
-122.1701531,37.4340467,Point 304,
-122.1702416,37.4340531,Point 305,
-122.1703127,37.4340638,Point 306,
-122.1703824,37.4340744,Point 307,
-122.170479,37.4340864,Point 308,
-122.1705528,37.434096,Point 309,
-122.1706144,37.4341045,Point 310,
-122.1706895,37.4341141,Point 311,
-122.1707526,37.4341194,Point 312,
-122.1708245,37.4341321,Point 313,
-122.1708956,37.4341534,Point 314,
-122.1709278,37.4341683,Point 315,
-122.1710002,37.4341907,Point 316,
-122.1710726,37.4342045,Point 317,
-122.1711495,37.4342205,Point 318,
-122.1712287,37.4342333,Point 319,
-122.1713172,37.4342482,Point 320,
-122.1714057,37.434262,Point 321,
-122.1714667,37.4342663,Point 322,
-122.1715297,37.4342695,Point 323,
-122.1716129,37.4342684,Point 324,
-122.1716732,37.4342642,Point 325,
-122.1717322,37.4342588,Point 326,
-122.1717953,37.4342493,Point 327,
-122.1718661,37.4342318,Point 328,
-122.1720231,37.4341668,Point 331,
-122.1720915,37.4341359,Point 332,
-122.1721317,37.4341263,Point 333,
-122.1719506,37.4341945,Point 334,
-122.1722524,37.4342105,Point 335,
-122.1723545,37.4343074,Point 336,
-122.1724739,37.4344128,Point 337,
-122.1724769,37.4344732,Point 338,
-122.1724944,37.4345265,Point 339,
-122.1725172,37.4345648,Point 340,
-122.1725655,37.4346234,Point 341,
-122.1725929,37.4346569,Point 342,
-122.1726238,37.4346921,Point 343,
-122.1725889,37.4347198,Point 344,
-122.1725661,37.4347475,Point 345,
-122.1725782,37.4347911,Point 346,
-122.1725889,37.4348316,Point 347,
-122.172605,37.4348742,Point 348,
-122.1726211,37.4349083,Point 349,
-122.1726399,37.4349413,Point 350,
-122.17266,37.4349871,Point 351,
-122.172668,37.4350116,Point 352,
-122.1726721,37.4350723,Point 353,
-122.172664,37.4351127,Point 354,
-122.1726466,37.4351489,Point 355,
-122.1686421,37.4371135,Point 356,
-122.1686153,37.4370912,Point 357,
-122.1686327,37.4370688,Point 358,
-122.1686582,37.4370369,Point 359,
-122.1686823,37.4370124,Point 360,
-122.1687132,37.4369847,Point 361,
-122.1687467,37.4369549,Point 362,
-122.1687829,37.4369304,Point 363,
-122.1688097,37.4369037,Point 364,
-122.1688714,37.4368729,Point 365,
-122.168921,37.4368484,Point 366,
-122.1689572,37.4368281,Point 367,
-122.1689689,37.4367902,Point 368,
-122.1689796,37.4367571,Point 369,
-122.168989,37.4367359,Point 370,
-122.1690064,37.4366986,Point 371,
-122.1690238,37.4366709,Point 372,
-122.1690386,37.4366421,Point 373,
-122.1690587,37.4366134,Point 374,
-122.1690802,37.4365846,Point 375,
-122.169103,37.436557,Point 376,
-122.1691284,37.4365325,Point 377,
-122.169166,37.4364973,Point 378,
-122.1691917,37.4364731,Point 379,
-122.169244,37.4364273,Point 380,
-122.1692762,37.4364029,Point 381,
-122.1693151,37.4363741,Point 382,
-122.169362,37.4363411,Point 383,
-122.1694023,37.4363155,Point 384,
-122.1694291,37.4362974,Point 385,
-122.1694586,37.4362761,Point 386,
-122.1694908,37.4362602,Point 387,
-122.1695404,37.4362261,Point 388,
-122.1695538,37.4362037,Point 389,
-122.1695297,37.4361867,Point 390,
-122.1695082,37.4361665,Point 391,
-122.1694814,37.4361452,Point 392,
-122.1694586,37.4361281,Point 393,
-122.1694344,37.4361047,Point 394,
-122.1694076,37.4360845,Point 395,
-122.1693835,37.43606,Point 396,
-122.1693553,37.4360387,Point 397,
-122.1693178,37.4360088,Point 398,
-122.1692976,37.4359865,Point 399,
-122.1692669,37.4359589,Point 400,
-122.1692361,37.4359312,Point 401,
-122.1692039,37.4359024,Point 402,
-122.1691784,37.4358801,Point 403,
-122.1689444,37.4356623,Point 404,
-122.1688038,37.4355254,Point 405,
-122.1686603,37.4354008,Point 406,
-122.1685624,37.4353125,Point 407,
-122.1684243,37.4351932,Point 408,
