"37.42371605832371, -122.15818852454296"
"37.423761454071006, -122.15825972524868"
"37.423785025567504, -122.15832908813812"
"37.423815863252514, -122.1583909793831"
"37.42384669336578, -122.15845640055808"
"37.423885157775764, -122.15853510822163"
"37.42391483731318, -122.15859429799667"
"37.42393804283113, -122.15865092666847"
"37.423959547768916, -122.15870586458101"
"37.42397184836634, -122.1587515241857"
"37.42398590303362, -122.15880009170513"
"37.42400316154476, -122.15886827375603"
"37.424017128396336, -122.15891285242282"
"37.42403192273995, -122.15898551714868"
"37.42404675446241, -122.1590440212975"
"37.42405499947975, -122.15908136086654"
"37.42406653518973, -122.15913006166954"
"37.42407640167757, -122.1591756842901"
"37.42408792559668, -122.15922233106959"
"37.42410192815123, -122.15928057176964"
"37.424111816362, -122.15932206146282"
"37.42412334709154, -122.15936767283195"
"37.42413733727792, -122.15942878938287"
"37.424150514184795, -122.15949517835669"
"37.42416987609102, -122.15958959719369"
"37.424184692422926, -122.15964969898317"
"37.4242595522454, -122.15999350416273"
"37.424298695145836, -122.16016985154249"
"37.42409206576328, -122.16026689657156"
"37.42407614588799, -122.16032192107521"
"37.42404543249622, -122.16037978673735"
"37.424003237673965, -122.16043596800532"
"37.42397774737521, -122.16043506040458"
"37.42374397498873, -122.16051913771624"
"37.423606750423815, -122.16056470938564"
"37.4234748404091, -122.16060463240785"
"37.42335069545252, -122.16066079035043"
"37.42330818372106, -122.16067482959647"
"37.423224197845585, -122.16071441856309"
"37.42316585202536, -122.16074740351578"
"37.423093052032414, -122.16078642050445"
"37.4230333856193, -122.16083547511931"
"37.422980836000015, -122.16087126841431"
"37.42293404733416, -122.16090902220748"
"37.42288030726788, -122.16096250839124"
"37.42282284428274, -122.161003729073"
"37.42277980209134, -122.16106502456546"
"37.42274825566272, -122.1610977285447"
"37.422727814978465, -122.16112519374207"
"37.42270811163232, -122.16113914229328"
"37.42268450581808, -122.16115295445414"
"37.42266012872941, -122.16115882209571"
"37.422634142267135, -122.1611598001726"
"37.42260671363899, -122.16115746118206"
"37.42240846436454, -122.16142554130084"
"37.42241835078956, -122.16145426990906"
"37.42242627420574, -122.16151035019905"
"37.42241805682251, -122.16157808529776"
"37.422411054042804, -122.16160455865055"
"37.422338116521765, -122.16179404812034"
"37.422317171258015, -122.1618585162742"
"37.42230323811979, -122.16190628380156"
"37.4222877529426, -122.16197064683286"
"37.42227693306955, -122.16201738454936"
"37.42226159073851, -122.1621287990219"
"37.422257057800905, -122.16220484508233"
"37.42224588446732, -122.16229463993182"
"37.422239720704845, -122.16241427772871"
"37.42222438634059, -122.16259972800206"
"37.42221499886019, -122.16276688804942"
"37.42221591800644, -122.162916877522"
"37.42222631281797, -122.16305855169063"
"37.42223303542567, -122.16314837313259"
"37.42223165071379, -122.16314837256189"
"37.42223840496348, -122.16323035876981"
"37.422246993224825, -122.16330128857165"
"37.422255503858125, -122.16336949265592"
"37.42226374812594, -122.16342445105249"
"37.42227466183299, -122.16347540537113"
"37.42228399276188, -122.16353484034019"
"37.42230598166171, -122.16364191134119"
"37.42232573212692, -122.16372329787937"
"37.422355680136526, -122.16383875984512"
"37.4224056540707, -122.16400155538935"
"37.42241313906182, -122.1640309631958"
"37.422412432180074, -122.16408180642009"
"37.42246164167258, -122.16423224168295"
"37.42258364377369, -122.16462047747004"
"37.422623469220326, -122.1647539816276"
"37.42265919591192, -122.16494836393152"
"37.42273758327592, -122.16502000028326"
"37.422805807676504, -122.16508471694675"
"37.42283126583776, -122.16513815871787"
"37.42283744499904, -122.16517539146082"
"37.422841406016126, -122.16523302455826"
"37.42302021094156, -122.16523472610507"
"37.42302017130943, -122.16530759886336"
"37.42301945234043, -122.16536304906309"
"37.423015001428126, -122.16540229835883"
"37.42300230593591, -122.16550377282009"
"37.42298867787771, -122.16557723264518"
"37.42296594466421, -122.1656790001762"
"37.42294578598855, -122.1657592035993"
"37.422922269515134, -122.16582557478051"
"37.422840098528, -122.16601934405821"
"37.42277613916853, -122.16615795737683"
"37.42268405770587, -122.16634240265326"
"37.422580617416834, -122.16654570436685"
"37.422522003212165, -122.16666457890013"
"37.422447584556075, -122.16681062491269"
"37.42242490478883, -122.16686089053057"
"37.42235953885684, -122.16699157893312"
"37.422334798448944, -122.16702962752116"
"37.422304663891936, -122.16706338084326"
"37.42226891880119, -122.16715461641046"
"37.42223082613598, -122.16721997430213"
"37.422173999250845, -122.1673324319136"
"37.42207244455163, -122.1675257662203"
"37.42194606242212, -122.16777138643427"
"37.42185768292152, -122.16794492356914"
"37.42174927009486, -122.16809417041173"
"37.42167999332614, -122.16819470658062"
"37.42162945645053, -122.16827526010822"
"37.42155390964133, -122.16838842953734"
"37.421431888228526, -122.16856081283274"
"37.42141058918336, -122.16856023294272"
"37.42137933768106, -122.16858169120664"
"37.42120401107169, -122.16876266737877"
"37.42111232396257, -122.16885245752631"
"37.42100172835977, -122.1689599793398"
"37.420962884488645, -122.16900132612348"
"37.42090653045161, -122.1690688116905"
"37.420796492232625, -122.16917545929861"
"37.420719105858495, -122.16927560320909"
"37.42064271288832, -122.1693545183405"
"37.42056255468624, -122.16942754402969"
"37.420433705957365, -122.16956477558355"
"37.420385293031046, -122.1696292113677"
"37.42030452403393, -122.16971104161422"
"37.42024515377992, -122.16977644890714"
"37.420140251098616, -122.16988428893124"
"37.42006264681333, -122.16997133669453"
"37.41998935031387, -122.1700730306169"
"37.41991343517578, -122.17019027647123"
"37.419836470822794, -122.17034068529001"
"37.41976586081808, -122.17046840250235"
"37.41971245238439, -122.17059271292065"
